Date,SPX Open,SPX Low,SPX High,SPX Close
25/06/1993,446.62,446.62,448.64,447.60
24/06/1993,443.04,442.50,447.21,446.62
23/06/1993,445.96,443.19,445.96,443.19
22/06/1993,446.25,444.94,446.29,445.93
21/06/1993,443.68,443.68,446.36,446.22
18/06/1993,448.54,443.68,448.59,443.68
17/06/1993,447.43,446.91,448.98,448.54
16/06/1993,446.31,443.61,447.43,447.43
15/06/1993,447.73,446.18,448.28,446.27
14/06/1993,447.23,447.23,448.64,447.71
11/06/1993,445.38,445.38,448.19,447.26
10/06/1993,445.78,444.09,446.22,445.38
09/06/1993,444.71,444.66,447.39,445.78
08/06/1993,447.69,444.31,447.69,444.71
07/06/1993,450.07,447.32,450.75,447.69
04/06/1993,452.43,448.92,452.49,450.06
03/06/1993,453.84,451.12,453.85,452.49
02/06/1993,453.83,452.68,454.53,453.85
01/06/1993,450.23,450.19,455.63,453.83
28/05/1993,452.41,447.67,452.41,450.19
27/05/1993,453.47,451.14,454.55,452.41
26/05/1993,448.82,448.82,453.51,453.44
25/05/1993,447.97,447.70,449.04,448.85
24/05/1993,445.83,445.26,448.44,448.00
21/05/1993,450.59,444.89,450.59,445.84
20/05/1993,447.60,447.36,450.59,450.59
19/05/1993,440.32,436.86,447.86,447.57
18/05/1993,440.39,437.95,441.26,440.32
17/05/1993,439.56,437.83,440.38,440.37
14/05/1993,439.22,438.10,439.82,439.56
13/05/1993,444.75,439.23,444.80,439.23
12/05/1993,444.32,442.87,445.16,444.80
11/05/1993,442.80,441.52,444.57,444.36
10/05/1993,442.34,442.05,445.42,442.80
07/05/1993,443.28,441.69,443.70,442.31
06/05/1993,444.60,442.90,444.81,443.26
05/05/1993,443.98,443.76,446.09,444.52
04/05/1993,442.58,442.45,445.19,444.05
03/05/1993,440.19,438.25,442.59,442.46
30/04/1993,438.89,438.89,442.29,440.19
29/04/1993,438.00,435.59,438.96,438.89
28/04/1993,438.03,436.68,438.80,438.02
27/04/1993,433.52,433.14,438.02,438.01
26/04/1993,437.00,432.30,438.35,433.54
23/04/1993,439.48,436.83,439.49,437.03
22/04/1993,443.55,439.46,445.73,439.46
21/04/1993,445.09,443.08,445.77,443.63
20/04/1993,447.46,441.81,447.46,445.10
19/04/1993,448.94,445.85,449.14,447.46
16/04/1993,448.41,447.67,449.39,448.94
15/04/1993,448.60,446.39,449.11,448.40
14/04/1993,449.22,448.02,450.00,448.66
13/04/1993,448.41,447.66,450.40,449.22
12/04/1993,441.84,441.84,448.37,448.37
08/04/1993,442.71,440.02,443.77,441.84
07/04/1993,441.16,440.50,442.73,442.73
06/04/1993,442.29,439.48,443.38,441.16
05/04/1993,441.42,440.53,442.43,442.29
02/04/1993,450.28,440.71,450.30,441.39
